18,17
8,0
30,18
0,23
4,2
22,10
22,28
14,24
57,13
26,7
15,16
26,16
15,25
52,10
33,6
41,28
25,11
45,7
56,7
22,14
34,16
14,28
15,2
38,4
18,16
21,18
6,29
11,4
41,5
52,5
25,6
25,24
22,0
45,11
56,11
3,5
37,7
14,23
36,29
7,11
21,13
6,24
29,26
21,22
44,5
41,18
52,18
10,12
2,8
34,6
37,11
36,15
55,28
28,20
21,8
40,21
21,26
44,0
10,7
25,5
10,25
24,27
55,5
36,19
59,21
17,15
9,29
21,21
10,11
32,8
32,17
43,26
16,18
1,29
55,18
28,1
47,14
5,17
17,19
9,15
29,11
39,24
20,20
51,7
43,3
43,12
24,8
16,13
16,22
55,4
55,13
28,5
5,12
17,14
58,24
6,13
39,19
31,24
23,20
51,2
12,29
35,3
43,16
1,28
55,8
17,0
36,13
28,9
9,5
58,19
8,27
19,27
31,1
20,10
39,23
12,6
23,6
20,19
12,15
4,11
23,24
32,2
35,7
32,20
24,16
1,23
55,3
57,22
5,2
28,4
42,6
50,28
19,22
42,24
11,18
31,5
54,7
23,1
39,27
12,19
23,19
4,15
23,28
43,6
16,16
46,17
15,20
38,22
58,0
27,3
58,18
42,1
19,26
39,4
54,2
31,9
39,22
12,5
4,19
32,1
34,29
56,29
38,8
57,21
26,15
7,20
18,20
27,7
19,3
42,5
8,12
0,8
39,8
41,27
20,4
12,0
23,18
53,19
34,24
37,20
57,7
38,3
49,3
18,6
26,28
19,7
27,20
0,3
30,16
19,25
30,25
52,22
33,27
12,4
23,4
34,1
53,14
37,6
22,17
14,13
46,2
26,5
38,7
46,20
15,14
7,10
18,19
19,11
11,7
11,16
44,13
52,26
44,22
25,18
53,9
34,14
45,14
14,17
37,28
38,2
15,18
26,18
11,2
10,15
33,17
10,24
3,21
14,21
37,23
7,9
40,15
21,20
10,1
33,21
2,15
25,26
22,2
34,4
22,11
45,13
56,13
3,16
14,16
55,26
59,24
28,27
7,4
18,4
29,10
40,28
21,24
52,2
52,11
10,5
52,20
10,14
2,10
2,28
13,25
36,8
36,26
28,22
29,5
48,18
6,12
44,2
10,9
33,11
32,24
43,24
13,20
35,20
14,6
36,3
55,16
36,12
47,12
17,8
17,17
28,26
48,4
29,0
48,13
40,9
40,18
21,23
44,6
2,0
25,2
32,19
35,15
32,28
16,11
59,9
17,3
28,3
17,12
28,12
17,21
50,27
21,0
39,17
54,15
32,5
43,5
35,19
24,28
55,6
47,2
17,7
5,14
28,16
58,17
58,26
9,21
8,25
42,27
54,1
54,10
39,21
32,9
32,18
43,18
35,14
43,27
16,10
46,29
38,25
58,3
42,13
27,24
8,20
30,20
42,22
20,3
31,12
54,23
23,17
12,26
23,26
4,22
35,0
35,9
57,15
26,27
38,29
9,2
58,16
8,15
30,15
42,17
11,20
11,29
23,12
51,3
13,4
16,0
57,10
7,27
42,3
8,1
19,1
27,14
30,1
8,10
27,23
11,6
42,21
11,15
11,24
39,15
12,16
22,29
1,6
38,1
57,23
49,19
27,9
30,5
0,10
52,29
33,25
23,11
56,17
37,13
3,20
57,0
7,8
